signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,engine
2026-05-21T10:00:00-04:00,2026-05-21,10:00,SPY,C,50,739.79,1,prime
2026-05-21T10:00:00-04:00,2026-05-21,10:00,NVDA,P,55,222.26,1,prime
2026-05-21T10:00:00-04:00,2026-05-21,10:00,AVGO,C,95,421.14,1,prime
2026-05-21T10:15:00-04:00,2026-05-21,10:15,IWM,C,70,280.84,1,prime
2026-05-21T10:15:00-04:00,2026-05-21,10:15,TSLA,C,45,418.64,1,prime
2026-05-21T13:30:00-04:00,2026-05-21,13:30,SPY,C,80,742.15,1,prime
2026-05-21T13:30:00-04:00,2026-05-21,13:30,IWM,C,70,282.05,1,prime
2026-05-22T10:15:00-04:00,2026-05-22,10:15,NVDA,P,55,216.57,1,prime
2026-05-22T10:15:00-04:00,2026-05-22,10:15,TSLA,C,85,423.68,1,prime
2026-05-22T10:30:00-04:00,2026-05-22,10:30,AAPL,C,55,308.64,1,prime
2026-05-22T10:30:00-04:00,2026-05-22,10:30,META,C,55,608.59,1,prime
2026-05-22T10:30:00-04:00,2026-05-22,10:30,AVGO,P,65,411.5,1,prime
2026-05-22T11:00:00-04:00,2026-05-22,11:00,AAPL,C,55,310.33,1,prime
2026-05-22T11:30:00-04:00,2026-05-22,11:30,MSFT,C,60,419.39,1,prime
2026-05-22T14:15:00-04:00,2026-05-22,14:15,META,C,45,609.21,1,prime
2026-05-26T10:00:00-04:00,2026-05-26,10:00,QQQ,C,80,728.44,1,prime
2026-05-26T10:00:00-04:00,2026-05-26,10:00,IWM,C,55,289.65,1,prime
2026-05-26T10:00:00-04:00,2026-05-26,10:00,TSLA,C,55,430.8,1,prime
2026-05-26T10:15:00-04:00,2026-05-26,10:15,AAPL,C,85,311.5,1,prime
2026-05-26T10:15:00-04:00,2026-05-26,10:15,NVDA,C,60,216.22,1,prime
2026-05-26T12:45:00-04:00,2026-05-26,12:45,AAPL,P,55,309.93,1,prime
2026-05-27T10:00:00-04:00,2026-05-27,10:00,QQQ,C,45,729.9,1,prime
2026-05-27T10:00:00-04:00,2026-05-27,10:00,IWM,C,45,290.83,1,prime
2026-05-27T10:00:00-04:00,2026-05-27,10:00,AMZN,C,30,268.22,1,prime
2026-05-27T10:00:00-04:00,2026-05-27,10:00,META,C,55,610.98,1,prime
2026-05-27T10:00:00-04:00,2026-05-27,10:00,NVDA,P,70,211.32,1,prime
2026-05-27T10:00:00-04:00,2026-05-27,10:00,TSLA,C,55,440.64,1,prime
2026-05-27T10:30:00-04:00,2026-05-27,10:30,QQQ,P,60,726.35,1,prime
2026-05-27T10:30:00-04:00,2026-05-27,10:30,META,C,65,615.0,1,prime
2026-05-27T10:30:00-04:00,2026-05-27,10:30,NVDA,P,55,209.92,1,prime
