trade_id,symbol,live_reason,sim_reason,live_armed,sim_armed,live_pnl,sim_pnl,pnl_gap,live_entry,sim_entry_ask,entry_fill_gap
2026-06-29_1500_SPY_C_740000,SPY,timestop,timestop,False,False,0.0,-18.0,-18.0,0.52,0.52,0.0
2026-06-29_1515_SPY_C_735000,SPY,timestop,timestop,False,False,0.0,2.0,2.0,3.14,3.07,-0.07
2026-06-29_1545_QQQ_C_720000,QQQ,timestop,trail,False,True,0.0,22.0,22.0,1.11,1.15,0.04
2026-06-29_1615_QQQ_C_720000,QQQ,timestop,trail,False,True,0.0,4.0,4.0,1.48,1.31,-0.17
2026-06-29_1800_IWM_C_300000,IWM,timestop,timestop,False,False,0.0,-1.0,-1.0,0.03,0.03,0.0
2026-06-30_1430_IWM_C_300000,IWM,timestop,timestop,False,False,0.0,-30.0,-30.0,0.82,0.82,0.0
2026-06-30_1430_QQQ_C_735000,QQQ,timestop,timestop,False,False,0.0,-48.0,-48.0,1.48,1.34,-0.14
2026-06-30_1515_SPY_C_745000,SPY,timestop,trail,False,True,0.0,-4.0,-4.0,1.14,1.15,0.01
2026-07-01_1415_IWM_C_300000,IWM,timestop,timestop,False,False,0.0,-68.0,-68.0,2.24,2.31,0.07
2026-07-01_1415_TSLA_C_425000,TSLA,timestop,trail,False,True,0.0,-29.0,-29.0,3.99,3.85,-0.14
2026-07-01_1430_MSFT_C_380000,MSFT,timestop,window_end,False,True,0.0,195.0,195.0,3.3,3.5,0.2
2026-07-01_1500_AAPL_P_295000,AAPL,timestop,timestop,False,False,0.0,-20.0,-20.0,1.39,1.3,-0.09
2026-07-01_1500_AAPL_C_295000,AAPL,timestop,trail,False,True,0.0,-2.0,-2.0,0.89,0.92,0.03
2026-07-01_1515_SPY_C_750000,SPY,timestop,trail,False,True,0.0,15.0,15.0,0.38,0.34,-0.04
2026-07-02_1515_IWM_P_300000,IWM,timestop,trail,False,True,0.0,0.0,0.0,2.46,2.54,0.08
2026-07-02_1700_SPY_P_740000,SPY,timestop,trail,False,True,0.0,14.0,14.0,0.56,0.55,-0.01
2026-07-06_1415_MSFT_P_385000,MSFT,timestop,timestop,False,False,32.0,-87.0,-119.0,2.93,2.58,-0.35
2026-07-06_1430_SPY_C_750000,SPY,timestop,timestop,False,False,26.0,-15.0,-41.0,0.97,0.96,-0.01
2026-07-06_1430_AAPL_P_310000,AAPL,timestop,timestop,False,False,7.0,-2.0,-9.0,0.58,0.53,-0.05
2026-07-06_1615_IWM_C_300000,IWM,timestop,trail,False,True,19.0,2.0,-17.0,0.46,0.48,0.02
2026-07-06_1830_META_C_600000,META,timestop,trail,False,True,122.0,43.0,-79.0,1.88,1.74,-0.14
2026-07-07_1400_NVDA_P_195000,NVDA,timestop,timestop,False,False,50.0,-30.0,-80.0,3.35,3.4,0.05
2026-07-07_1400_GOOGL_C_370000,GOOGL,timestop,timestop,False,False,30.0,-20.0,-50.0,4.2,4.0,-0.2
2026-07-07_1400_MSFT_C_395000,MSFT,timestop,timestop,False,False,111.0,-4.0,-115.0,3.14,3.25,0.11
2026-07-07_1400_QQQ_P_710000,QQQ,timestop,trail,False,True,264.0,102.0,-162.0,2.13,2.1,-0.03
2026-07-07_1400_AVGO_P_365000,AVGO,timestop,timestop,False,False,135.0,25.0,-110.0,4.45,4.45,0.0
2026-07-07_1400_AMZN_P_250000,AMZN,timestop,trail,False,True,255.0,-30.0,-285.0,4.35,3.65,-0.7
2026-07-07_1400_META_C_615000,META,timestop,timestop,False,False,150.0,-85.0,-235.0,5.75,5.95,0.2
2026-07-07_1415_IWM_P_295000,IWM,timestop,timestop,False,False,10.0,-31.0,-41.0,0.61,0.61,0.0
2026-07-07_1445_AAPL_C_315000,AAPL,timestop,timestop,False,False,48.0,-6.0,-54.0,1.17,1.15,-0.02
2026-07-07_1600_AMZN_P_245000,AMZN,timestop,timestop,False,False,19.0,-51.0,-70.0,2.75,2.78,0.03
2026-07-07_1815_META_C_620000,META,timestop,trail,False,True,436.0,181.0,-255.0,5.94,5.95,0.01
2026-07-08_1400_TSLA_P_395000,TSLA,trail,trail,True,True,32.0,4.0,-28.0,2.93,2.72,-0.21
2026-07-08_1400_IWM_P_295000,IWM,trail,trail,True,True,36.0,-8.0,-44.0,1.23,1.22,-0.01
2026-07-08_1415_SPY_P_745000,SPY,trail,timestop,True,False,33.0,-3.0,-36.0,2.79,2.77,-0.02
2026-07-08_1415_IWM_P_295000,IWM,trail,timestop,True,False,31.0,6.0,-25.0,1.84,1.69,-0.15
2026-07-08_1445_SPY_P_740000,SPY,trail,trail,True,True,22.0,-4.0,-26.0,0.95,0.85,-0.1
2026-07-08_1415_QQQ_P_705000,QQQ,trail,timestop,True,False,38.0,-65.0,-103.0,2.57,2.27,-0.3
2026-07-08_1400_NVDA_C_200000,NVDA,trail,timestop,True,False,20.0,-14.0,-34.0,0.39,0.38,-0.01
2026-07-08_1500_NVDA_C_200000,NVDA,trail,timestop,True,False,10.0,-49.0,-59.0,0.68,0.65,-0.03
2026-07-08_1500_TSLA_P_395000,TSLA,trail,trail,True,True,35.0,5.0,-30.0,3.95,3.95,0.0
2026-07-08_1630_SPY_C_745000,SPY,trail,trail,True,True,12.0,-6.0,-18.0,0.61,0.6,-0.01
2026-07-08_1630_QQQ_C_705000,QQQ,trail,trail,True,True,47.0,-12.0,-59.0,3.1,3.08,-0.02
2026-07-09_1400_META_P_590000,META,trail,trail,True,True,75.0,-40.0,-115.0,5.15,6.85,1.7
2026-07-09_1415_AVGO_P_390000,AVGO,trail,trail,True,True,50.0,-35.0,-85.0,5.35,4.75,-0.6
2026-07-09_1400_MSFT_P_380000,MSFT,trail,window_end,True,True,145.0,115.0,-30.0,4.3,4.3,0.0
2026-07-09_1400_IWM_C_295000,IWM,trail,trail,True,True,43.0,-10.0,-53.0,1.83,1.86,0.03
2026-07-09_1400_QQQ_C_720000,QQQ,timestop,timestop,False,False,-193.0,-151.0,42.0,3.82,3.79,-0.03
2026-07-09_1415_NVDA_P_200000,NVDA,timestop,trail,False,True,-87.0,-1.0,86.0,2.2,2.09,-0.11
2026-07-09_1415_TSLA_P_395000,TSLA,timestop,timestop,False,False,-149.0,-59.0,90.0,5.94,5.6,-0.34
2026-07-09_1530_SPY_C_750000,SPY,trail,trail,True,True,9.0,3.0,-6.0,0.81,0.87,0.06
2026-07-09_1515_QQQ_C_720000,QQQ,trail,trail,True,True,37.0,-16.0,-53.0,2.36,2.43,0.07
2026-07-09_1530_IWM_C_295000,IWM,timestop,timestop,False,False,-2.0,6.0,8.0,2.25,2.27,0.02
2026-07-09_1600_SPY_C_750000,SPY,trail,window_end,True,True,13.0,28.0,15.0,0.86,0.8,-0.06
2026-07-10_1400_IWM_C_295000,IWM,trail,trail,True,True,14.0,-5.0,-19.0,1.4,1.67,0.27
2026-07-10_1400_AMZN_P_245000,AMZN,trail,trail,True,True,18.0,-3.0,-21.0,0.92,0.96,0.04
2026-07-10_1445_GOOGL_P_355000,GOOGL,trail,trail,True,True,23.0,31.0,8.0,1.83,1.83,0.0
2026-07-10_1445_MSFT_P_385000,MSFT,trail,trail,True,True,115.0,2.0,-113.0,2.75,2.78,0.03
2026-07-10_1445_AMZN_P_245000,AMZN,trail,trail,True,True,25.0,-8.0,-33.0,0.83,0.83,0.0
2026-07-10_1445_QQQ_C_720000,QQQ,trail,timestop,True,False,66.0,-136.0,-202.0,3.54,3.39,-0.15
2026-07-10_1545_QQQ_C_720000,QQQ,trail,window_end,True,True,65.0,176.0,111.0,2.59,2.67,0.08
