signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,c_trend,c_vwap_evt,c_or_evt,c_squeeze,c_rsi,c_vol
2026-05-20T10:30:00-04:00,2026-05-20,10:30,META,C,45,601.8,1,False,True,True,False,True,False
2026-05-21T10:00:00-04:00,2026-05-21,10:00,QQQ,C,60,710.63,1,True,False,True,False,True,True
2026-05-21T10:00:00-04:00,2026-05-21,10:00,AMZN,C,60,263.35,1,True,False,True,False,True,True
2026-05-21T10:00:00-04:00,2026-05-21,10:00,AVGO,C,45,421.14,1,True,False,False,False,True,True
2026-05-21T10:00:00-04:00,2026-05-21,10:00,IWM,C,50,280.45,1,True,False,True,False,False,True
2026-05-21T10:15:00-04:00,2026-05-21,10:15,AMZN,C,50,262.77,2,True,False,True,False,True,False
2026-05-21T10:15:00-04:00,2026-05-21,10:15,QQQ,C,50,710.17,2,True,False,True,False,True,False
2026-05-21T10:15:00-04:00,2026-05-21,10:15,AAPL,C,50,301.59,1,True,False,True,False,True,False
2026-05-21T10:30:00-04:00,2026-05-21,10:30,QQQ,C,50,708.27,3,True,False,True,False,True,False
2026-05-21T10:30:00-04:00,2026-05-21,10:30,AAPL,C,50,301.95,2,True,False,True,False,True,False
2026-05-21T10:30:00-04:00,2026-05-21,10:30,TSLA,C,45,414.33,1,True,False,False,False,True,True
2026-05-21T11:00:00-04:00,2026-05-21,11:00,META,C,45,599.51,1,False,True,True,False,True,False
2026-05-21T11:15:00-04:00,2026-05-21,11:15,META,P,50,601.48,1,True,False,True,False,True,False
2026-05-21T12:15:00-04:00,2026-05-21,12:15,META,P,50,601.5,2,True,False,True,False,True,False
2026-05-21T12:30:00-04:00,2026-05-21,12:30,META,P,50,601.15,3,True,False,True,False,True,False
2026-05-21T12:45:00-04:00,2026-05-21,12:45,META,P,50,600.59,4,True,False,True,False,True,False
2026-05-21T13:00:00-04:00,2026-05-21,13:00,META,P,50,601.8,5,True,False,True,False,True,False
