signal_ts_et,symbol,side,score
2026-06-12 10:00:00-04:00,SPY,C,70
2026-06-12 10:45:00-04:00,SPY,C,70
2026-06-12 11:00:00-04:00,SPY,C,70
2026-06-12 11:15:00-04:00,SPY,C,70
2026-06-15 10:45:00-04:00,SPY,C,60
2026-06-15 11:00:00-04:00,SPY,C,60
2026-06-15 11:15:00-04:00,SPY,C,60
2026-06-15 11:30:00-04:00,SPY,C,60
2026-06-29 10:30:00-04:00,SPY,C,70
2026-06-29 10:45:00-04:00,SPY,C,70
2026-06-29 11:30:00-04:00,SPY,C,70
2026-06-29 11:45:00-04:00,SPY,C,70
2026-07-06 10:15:00-04:00,SPY,C,60
2026-07-06 10:45:00-04:00,SPY,C,60
2026-06-12 10:00:00-04:00,QQQ,C,70
2026-06-12 10:45:00-04:00,QQQ,C,70
2026-06-12 11:00:00-04:00,QQQ,C,70
2026-06-12 11:15:00-04:00,QQQ,C,70
2026-06-15 10:45:00-04:00,QQQ,C,70
2026-06-15 11:00:00-04:00,QQQ,C,70
2026-06-15 11:15:00-04:00,QQQ,C,70
2026-06-15 11:45:00-04:00,QQQ,C,70
2026-06-18 11:45:00-04:00,QQQ,C,70
2026-06-18 12:15:00-04:00,QQQ,C,70
2026-06-18 12:30:00-04:00,QQQ,C,70
2026-06-18 13:00:00-04:00,QQQ,C,70
2026-06-22 09:45:00-04:00,QQQ,C,70
2026-06-29 11:30:00-04:00,QQQ,C,70
2026-06-29 11:45:00-04:00,QQQ,C,70
2026-06-29 12:00:00-04:00,QQQ,C,70
2026-06-29 12:45:00-04:00,QQQ,C,70
2026-06-30 09:45:00-04:00,QQQ,C,70
2026-06-30 10:15:00-04:00,QQQ,C,70
2026-06-30 11:45:00-04:00,QQQ,C,70
2026-06-30 12:00:00-04:00,QQQ,C,60
2026-07-09 09:45:00-04:00,QQQ,C,70
2026-07-09 11:00:00-04:00,QQQ,C,70
2026-07-09 11:15:00-04:00,QQQ,C,70
2026-07-09 13:00:00-04:00,QQQ,C,60
2026-07-10 11:15:00-04:00,QQQ,C,60
2026-07-10 12:00:00-04:00,QQQ,C,70
2026-07-10 12:15:00-04:00,QQQ,C,60
2026-07-10 13:15:00-04:00,QQQ,C,60
2026-07-14 12:30:00-04:00,QQQ,C,70
2026-07-14 12:45:00-04:00,QQQ,C,70
2026-07-14 13:45:00-04:00,QQQ,C,60
2026-07-14 14:00:00-04:00,QQQ,C,60
2026-06-11 12:00:00-04:00,IWM,C,70
2026-06-11 13:15:00-04:00,IWM,C,70
2026-06-11 13:30:00-04:00,IWM,C,70
2026-06-12 10:00:00-04:00,IWM,C,70
2026-06-12 10:45:00-04:00,IWM,C,70
2026-06-12 11:00:00-04:00,IWM,C,70
2026-06-15 11:15:00-04:00,IWM,C,70
2026-06-15 11:30:00-04:00,IWM,C,70
2026-06-17 11:30:00-04:00,IWM,C,70
2026-06-17 11:45:00-04:00,IWM,C,70
2026-06-17 12:45:00-04:00,IWM,C,60
2026-06-17 13:45:00-04:00,IWM,C,60
2026-06-22 09:45:00-04:00,IWM,C,70
2026-06-22 11:00:00-04:00,IWM,C,70
2026-06-22 11:15:00-04:00,IWM,C,70
2026-06-22 11:30:00-04:00,IWM,C,70
2026-06-24 10:30:00-04:00,IWM,C,70
2026-06-24 10:45:00-04:00,IWM,C,70
2026-06-24 11:15:00-04:00,IWM,C,70
2026-06-24 12:15:00-04:00,IWM,C,70
2026-06-25 12:00:00-04:00,IWM,C,70
2026-06-26 10:00:00-04:00,IWM,C,70
2026-06-26 11:15:00-04:00,IWM,C,70
2026-06-26 11:30:00-04:00,IWM,C,70
2026-06-30 10:00:00-04:00,IWM,C,60
2026-06-30 10:15:00-04:00,IWM,C,60
2026-06-30 11:00:00-04:00,IWM,C,70
2026-06-30 12:00:00-04:00,IWM,C,60
2026-07-01 09:45:00-04:00,IWM,C,60
2026-07-01 10:00:00-04:00,IWM,C,60
2026-07-01 11:00:00-04:00,IWM,C,60
2026-07-01 11:15:00-04:00,IWM,C,60
2026-07-06 12:30:00-04:00,IWM,C,60
2026-07-09 13:00:00-04:00,IWM,C,60
2026-07-09 13:15:00-04:00,IWM,C,60
2026-07-15 10:00:00-04:00,IWM,C,60
2026-07-15 13:15:00-04:00,IWM,C,60
2026-07-15 13:30:00-04:00,IWM,C,60
2026-07-15 13:45:00-04:00,IWM,C,60
2026-07-16 09:45:00-04:00,IWM,C,60
2026-07-16 10:00:00-04:00,IWM,C,60
2026-06-08 13:15:00-04:00,AAPL,C,70
2026-06-15 10:45:00-04:00,AAPL,C,70
2026-06-15 11:30:00-04:00,AAPL,C,70
2026-06-15 11:45:00-04:00,AAPL,C,70
2026-06-16 09:45:00-04:00,AAPL,C,70
2026-06-16 11:00:00-04:00,AAPL,C,70
2026-06-16 12:00:00-04:00,AAPL,C,70
2026-06-16 12:45:00-04:00,AAPL,C,70
2026-06-18 10:30:00-04:00,AAPL,C,70
2026-06-22 11:30:00-04:00,AAPL,C,70
2026-06-23 10:15:00-04:00,AAPL,C,70
2026-06-30 09:45:00-04:00,AAPL,C,70
2026-06-30 10:00:00-04:00,AAPL,C,70
2026-06-30 10:15:00-04:00,AAPL,C,70
2026-06-30 10:45:00-04:00,AAPL,C,70
2026-07-01 10:00:00-04:00,AAPL,C,70
2026-07-01 10:30:00-04:00,AAPL,C,70
2026-07-01 11:15:00-04:00,AAPL,C,70
2026-07-02 09:45:00-04:00,AAPL,C,70
2026-07-02 10:00:00-04:00,AAPL,C,70
2026-07-02 10:15:00-04:00,AAPL,C,70
2026-07-02 10:30:00-04:00,AAPL,C,70
2026-07-06 10:15:00-04:00,AAPL,C,70
2026-07-06 10:45:00-04:00,AAPL,C,70
2026-07-06 11:00:00-04:00,AAPL,C,70
2026-07-06 11:15:00-04:00,AAPL,C,70
2026-07-07 10:30:00-04:00,AAPL,C,70
2026-07-07 11:00:00-04:00,AAPL,C,70
2026-07-07 11:15:00-04:00,AAPL,C,70
2026-07-07 11:30:00-04:00,AAPL,C,70
2026-07-08 13:00:00-04:00,AAPL,C,70
2026-07-08 13:15:00-04:00,AAPL,C,70
2026-07-08 13:30:00-04:00,AAPL,C,70
2026-07-09 11:15:00-04:00,AAPL,C,70
2026-07-09 13:45:00-04:00,AAPL,C,70
2026-07-10 12:45:00-04:00,AAPL,C,70
2026-07-15 10:00:00-04:00,AAPL,C,70
