trade_id,date,symbol,side,engine,score,c_rsi,c_vwap_evt,c_trend,strike,entry_price,exit_price,exit_reason,exit_min,armed,mfe_pct,mins_to_first_uptick,pnl
2026-05-21_AVGO_C_1000,2026-05-21,AVGO,C,prime,95,,,,422.5,5.25,3.35,timestop,15.6,False,-3.8,,-190.0
2026-05-21_NVDA_P_1000,2026-05-21,NVDA,P,prime,55,,,,220.0,1.9,3.9,window_end,28.0,True,113.2,13.0,200.0
2026-05-21_QQQ_C_1015,2026-05-21,QQQ,C,scout,50,True,False,True,711.0,1.85,1.52,timestop,16.0,False,8.1,1.0,-33.0
2026-05-21_TSLA_C_1015,2026-05-21,TSLA,C,prime,45,,,,420.0,4.9,3.2,timestop,16.0,False,-1.0,,-170.0
2026-05-21_QQQ_C_1030,2026-05-21,QQQ,C,scout,50,True,False,True,709.0,2.54,2.31,trail,10.0,True,11.0,7.0,-23.0
2026-05-21_IWM_C_1300,2026-05-21,IWM,C,scout,45,False,False,True,281.0,0.21,0.39,trail,13.0,True,138.1,10.0,18.0
2026-05-21_IWM_C_1315,2026-05-21,IWM,C,scout,45,False,False,True,281.0,0.89,1.03,trail,2.0,True,44.9,1.0,14.0
2026-05-21_IWM_C_1330,2026-05-21,IWM,C,scout,55,False,False,True,283.0,0.35,0.27,trail,3.0,True,11.4,1.0,-8.0
2026-05-21_QQQ_C_1330,2026-05-21,QQQ,C,scout,45,False,False,True,714.0,1.46,1.31,trail,3.0,True,12.3,1.0,-15.0
2026-05-22_NVDA_P_1015,2026-05-22,NVDA,P,prime,55,,,,215.0,0.8,0.83,trail,9.0,True,48.7,1.0,3.0
2026-05-22_SPY_C_1015,2026-05-22,SPY,C,scout,45,False,False,True,746.0,1.73,1.49,timestop,15.0,False,-0.6,,-24.0
2026-05-22_TSLA_C_1015,2026-05-22,TSLA,C,prime,85,,,,425.0,2.27,2.72,trail,9.0,True,43.2,1.0,45.0
2026-05-22_AAPL_C_1030,2026-05-22,AAPL,C,prime,55,,,,310.0,0.44,0.47,trail,6.9,True,36.4,1.0,3.0
2026-05-22_AVGO_P_1030,2026-05-22,AVGO,P,prime,65,,,,410.0,2.17,1.35,timestop,15.2,False,-5.1,,-82.0
2026-05-22_META_C_1030,2026-05-22,META,C,prime,55,,,,610.0,1.83,2.22,window_end,27.9,True,23.5,8.0,39.0
2026-05-22_IWM_C_1045,2026-05-22,IWM,C,scout,60,False,False,True,285.0,0.8,0.65,timestop,16.0,False,-2.5,,-15.0
2026-05-22_QQQ_C_1045,2026-05-22,QQQ,C,scout,60,False,False,True,720.0,1.57,2.1,window_end,28.0,True,37.6,1.0,53.0
2026-05-22_SPY_C_1045,2026-05-22,SPY,C,scout,60,False,False,True,747.0,1.12,1.36,window_end,28.0,True,25.9,3.0,24.0
2026-05-22_AAPL_C_1100,2026-05-22,AAPL,C,prime,55,,,,312.5,0.18,0.25,trail,16.0,True,83.3,1.0,7.0
2026-05-22_QQQ_C_1100,2026-05-22,QQQ,C,scout,60,False,False,True,720.0,1.75,2.2,window_end,28.0,True,28.0,1.0,45.0
2026-05-22_QQQ_C_1115,2026-05-22,QQQ,C,scout,45,False,False,True,721.0,1.61,1.65,timestop,15.0,False,5.0,2.0,4.0
2026-05-22_SPY_C_1115,2026-05-22,SPY,C,scout,60,False,True,True,748.0,0.93,0.99,trail,18.0,True,26.9,1.0,6.0
2026-05-22_MSFT_C_1130,2026-05-22,MSFT,C,prime,60,,,,420.0,1.12,0.72,timestop,15.9,False,-4.5,,-40.0
2026-05-22_IWM_C_1230,2026-05-22,IWM,C,scout,45,False,False,True,286.0,0.38,0.31,trail,4.0,True,10.5,1.0,-7.0
2026-05-22_IWM_C_1300,2026-05-22,IWM,C,scout,45,False,False,True,286.0,0.33,0.29,timestop,15.9,False,-3.0,,-4.0
2026-05-22_META_C_1415,2026-05-22,META,C,prime,45,,,,610.0,0.8,1.55,trail,8.0,True,135.0,0.9,75.0
2026-05-26_TSLA_C_1000,2026-05-26,TSLA,C,prime,55,,,,432.5,7.85,6.35,timestop,15.9,False,-0.6,,-150.0
2026-05-26_AAPL_C_1015,2026-05-26,AAPL,C,prime,85,,,,312.5,2.36,2.31,timestop,16.0,False,2.5,12.0,-5.0
2026-05-26_IWM_C_1015,2026-05-26,IWM,C,scout,45,False,False,True,291.0,0.45,0.25,timestop,15.0,False,6.7,1.0,-20.0
2026-05-26_NVDA_C_1015,2026-05-26,NVDA,C,prime,60,,,,217.5,2.67,3.1,trail,19.1,True,40.4,2.0,43.0
2026-05-26_QQQ_C_1015,2026-05-26,QQQ,C,scout,45,False,False,True,729.0,1.6,2.83,window_end,27.8,True,92.5,1.0,123.0
2026-05-26_SPY_C_1015,2026-05-26,SPY,C,scout,60,False,False,True,752.0,0.87,0.9,trail,19.0,True,25.3,1.0,3.0
2026-05-26_IWM_C_1030,2026-05-26,IWM,C,scout,45,False,False,True,290.0,0.59,0.79,trail,25.0,True,57.6,2.0,20.0
2026-05-26_QQQ_C_1030,2026-05-26,QQQ,C,scout,45,False,False,True,730.0,1.74,1.9,trail,17.0,True,36.8,1.0,16.0
2026-05-26_SPY_C_1030,2026-05-26,SPY,C,scout,60,False,False,True,752.0,1.0,1.01,trail,19.0,True,21.0,5.0,1.0
2026-05-26_IWM_C_1045,2026-05-26,IWM,C,scout,45,False,False,True,291.0,0.47,0.35,timestop,15.0,False,-2.1,,-12.0
2026-05-26_QQQ_C_1045,2026-05-26,QQQ,C,scout,45,False,False,True,731.0,1.71,0.83,timestop,16.0,False,-1.2,,-88.0
2026-05-26_SPY_C_1045,2026-05-26,SPY,C,scout,60,False,False,True,753.0,0.71,0.35,timestop,16.0,False,-1.4,,-36.0
2026-05-26_SPY_C_1100,2026-05-26,SPY,C,scout,60,False,False,True,752.0,0.8,0.47,timestop,16.0,False,-1.2,,-33.0
2026-05-26_AAPL_P_1245,2026-05-26,AAPL,P,prime,55,,,,307.5,1.58,1.46,timestop,15.3,False,3.2,0.0,-12.0
2026-05-27_AMZN_C_1000,2026-05-27,AMZN,C,prime,30,,,,270.0,2.3,2.58,trail,9.0,True,32.6,1.0,28.0
2026-05-27_META_C_1000,2026-05-27,META,C,prime,55,,,,615.0,4.9,5.55,trail,23.1,True,40.8,1.1,65.0
2026-05-27_NVDA_P_1000,2026-05-27,NVDA,P,prime,70,,,,210.0,2.51,3.05,window_end,28.0,True,23.5,4.9,54.0
2026-05-27_TSLA_C_1000,2026-05-27,TSLA,C,prime,55,,,,442.5,6.7,6.15,trail,5.0,True,11.2,1.0,-55.0
2026-05-27_IWM_C_1015,2026-05-27,IWM,C,scout,55,False,False,True,292.0,0.54,0.55,trail,5.0,True,29.6,1.0,1.0
2026-05-27_QQQ_C_1015,2026-05-27,QQQ,C,scout,50,True,False,True,729.0,1.99,1.85,trail,5.0,True,22.1,1.0,-14.0
2026-05-27_META_C_1030,2026-05-27,META,C,prime,65,,,,615.0,7.05,5.55,timestop,15.1,False,1.4,1.1,-150.0
2026-05-27_NVDA_P_1030,2026-05-27,NVDA,P,prime,55,,,,207.5,1.86,1.73,trail,20.0,True,11.8,2.0,-13.0
2026-05-27_QQQ_C_1030,2026-05-27,QQQ,C,scout,45,True,False,True,727.0,2.0,2.48,trail,12.0,True,55.0,1.0,48.0
2026-05-27_QQQ_C_1045,2026-05-27,QQQ,C,scout,50,True,False,True,729.0,1.56,1.36,trail,4.0,True,16.0,1.0,-20.0
2026-05-27_TSLA_C_1045,2026-05-27,TSLA,C,prime,60,,,,445.0,6.9,6.5,trail,11.0,True,15.2,5.0,-40.0
2026-05-27_AAPL_C_1100,2026-05-27,AAPL,C,prime,70,,,,315.0,1.54,1.26,timestop,15.9,False,2.6,3.0,-28.0
2026-05-27_IWM_C_1115,2026-05-27,IWM,C,scout,60,False,False,True,291.0,0.52,0.44,trail,6.0,True,13.5,1.0,-8.0
2026-05-27_IWM_C_1130,2026-05-27,IWM,C,scout,45,False,False,True,291.0,0.74,0.31,timestop,16.0,False,-1.4,,-43.0
2026-05-27_META_C_1415,2026-05-27,META,C,prime,75,,,,620.0,6.35,12.9,trail,24.9,True,149.6,3.0,655.0
2026-05-27_META_C_1445,2026-05-27,META,C,prime,60,,,,630.0,7.0,10.5,trail,28.0,True,81.4,2.0,350.0
2026-05-28_TSLA_C_1000,2026-05-28,TSLA,C,prime,65,,,,442.5,4.5,4.15,trail,20.0,True,15.6,13.0,-35.0
