variant,symbol,trades,win_rate_pct,net_usd,avg_trade_usd,profit_factor,max_drawdown_usd,long_trades,short_trades
pine_current_proxy,ALL,5276,80.25018953752843,89858.70853486034,17.03159752366572,6.478900076764643,-606.9868951011013,2163,3113
server_current,ALL,5081,81.40129895689824,88670.25048214431,17.451338414120116,6.8510647497419574,-765.053952350725,2129,2952
chicago_daily_reset,ALL,5070,80.94674556213018,88616.33109315907,17.47856629056392,6.541423392427805,-606.9868951011013,2072,2998
et_daily_reset,ALL,4961,81.81818181818183,87910.87945771764,17.720394972327686,6.881773993072236,-765.053952350725,2081,2880
pine_current_proxy,MES,1858,84.60710441334768,21806.12080700483,11.736340585040274,3.4746698780007312,-304.03446928696576,746,1112
server_current,MES,1751,86.12221587664192,21756.800081258963,12.425356985299237,3.6949747061537463,-305.609238807303,710,1041
et_daily_reset,MES,1714,86.28938156359393,21586.579056832292,12.594270161512423,3.7111594022388865,-305.609238807303,695,1019
chicago_daily_reset,MES,1789,84.74007825600894,21516.096448344353,12.026884543512773,3.49970520540372,-304.03446928696576,714,1075
pine_current_proxy,MNQ,1728,85.70601851851852,51998.6929108872,30.091836175281944,11.898663966177384,-390.41170499279906,679,1049
chicago_daily_reset,MNQ,1663,86.10944076969332,51097.6929108872,30.726213416047624,11.89292367983169,-390.41170499279906,656,1007
server_current,MNQ,1638,86.6910866910867,50722.82787813754,30.966317385920355,12.35457208597328,-390.41170499279906,665,973
et_daily_reset,MNQ,1605,86.97819314641745,50224.92787813754,31.29278995522588,12.380170647595966,-390.41170499279906,648,957
server_current,MYM,1692,71.39479905437352,16190.62252274782,9.568925840867506,7.193153811570726,-158.0670572496274,754,938
et_daily_reset,MYM,1642,72.10718635809987,16099.372522747824,9.804733570491976,7.262330967442278,-158.0670572496274,738,904
pine_current_proxy,MYM,1690,69.88165680473372,16053.894816968314,9.499346045543382,6.696849846972628,-163.61131100172497,738,952
chicago_daily_reset,MYM,1618,71.44622991347343,16002.541733927523,9.890322456073871,6.941703376729512,-163.61131100172497,702,916
