signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,c_trend,c_vwap_evt,c_or_evt,c_squeeze,c_rsi,c_vol,engine,conflict_bar
2026-05-21T10:00:00-04:00,2026-05-21,10:00,AVGO,C,95,421.14,1,,,,,,,prime,False
2026-05-21T10:00:00-04:00,2026-05-21,10:00,NVDA,P,55,222.26,1,,,,,,,prime,False
2026-05-21T10:15:00-04:00,2026-05-21,10:15,QQQ,C,50,710.17,1,True,False,True,False,True,False,scout,False
2026-05-21T10:15:00-04:00,2026-05-21,10:15,SPY,C,50,739.44,1,True,False,True,False,True,False,scout,False
2026-05-21T10:15:00-04:00,2026-05-21,10:15,TSLA,C,45,418.64,1,,,,,,,prime,False
2026-05-21T13:00:00-04:00,2026-05-21,13:00,IWM,C,45,280.02,1,True,False,False,True,False,False,scout,False
2026-05-21T13:30:00-04:00,2026-05-21,13:30,IWM,C,55,282.05,3,True,False,False,True,False,True,scout,False
2026-05-21T13:30:00-04:00,2026-05-21,13:30,QQQ,C,45,713.67,3,True,False,False,True,False,False,scout,False
2026-05-21T13:45:00-04:00,2026-05-21,13:45,SPY,C,45,743.55,3,True,False,False,True,False,False,scout,False
2026-05-22T10:15:00-04:00,2026-05-22,10:15,NVDA,P,55,216.57,1,,,,,,,prime,False
2026-05-22T10:15:00-04:00,2026-05-22,10:15,SPY,C,45,745.56,1,True,False,False,True,False,False,scout,False
2026-05-22T10:15:00-04:00,2026-05-22,10:15,TSLA,C,85,423.68,1,,,,,,,prime,False
2026-05-22T10:30:00-04:00,2026-05-22,10:30,AAPL,C,55,308.64,1,,,,,,,prime,False
2026-05-22T10:30:00-04:00,2026-05-22,10:30,AVGO,P,65,411.5,1,,,,,,,prime,False
2026-05-22T10:30:00-04:00,2026-05-22,10:30,META,C,55,608.59,1,,,,,,,prime,False
2026-05-22T10:45:00-04:00,2026-05-22,10:45,IWM,C,60,284.95,1,True,False,True,True,False,False,scout,False
2026-05-22T10:45:00-04:00,2026-05-22,10:45,QQQ,C,60,719.43,1,True,False,True,True,False,False,scout,False
2026-05-22T10:45:00-04:00,2026-05-22,10:45,SPY,C,60,746.38,2,True,False,True,True,False,False,scout,False
2026-05-22T11:00:00-04:00,2026-05-22,11:00,AAPL,C,55,310.33,1,,,,,,,prime,False
2026-05-22T11:15:00-04:00,2026-05-22,11:15,QQQ,C,45,720.68,3,True,False,False,True,False,False,scout,False
2026-05-22T11:15:00-04:00,2026-05-22,11:15,SPY,C,60,747.03,3,True,True,True,False,False,False,scout,False
2026-05-22T11:30:00-04:00,2026-05-22,11:30,MSFT,C,60,419.39,1,,,,,,,prime,False
2026-05-22T12:15:00-04:00,2026-05-22,12:15,SPY,C,60,747.39,4,True,False,True,True,False,False,scout,False
2026-05-22T12:30:00-04:00,2026-05-22,12:30,IWM,C,45,285.23,2,True,False,False,True,False,False,scout,False
2026-05-22T13:00:00-04:00,2026-05-22,13:00,IWM,C,45,285.19,3,True,False,False,True,False,False,scout,False
2026-05-22T14:15:00-04:00,2026-05-22,14:15,META,C,45,609.21,1,,,,,,,prime,False
2026-05-26T10:00:00-04:00,2026-05-26,10:00,TSLA,C,55,430.8,1,,,,,,,prime,False
2026-05-26T10:15:00-04:00,2026-05-26,10:15,AAPL,C,85,311.5,1,,,,,,,prime,False
2026-05-26T10:15:00-04:00,2026-05-26,10:15,IWM,C,45,290.4,1,True,False,False,True,False,False,scout,False
2026-05-26T10:15:00-04:00,2026-05-26,10:15,NVDA,C,60,216.22,1,,,,,,,prime,False
2026-05-26T10:15:00-04:00,2026-05-26,10:15,QQQ,C,45,729.0,1,True,False,False,True,False,False,scout,False
2026-05-26T10:15:00-04:00,2026-05-26,10:15,SPY,C,60,751.44,1,True,False,True,True,False,False,scout,False
